"filename", "language", "Python", "comment", "blank", "total"
"/Users/h.zhong@aics.espritscholen.nl/Desktop/Legacy Fourier's Estate MMXXIII/algorithms/2d_dft.py", "Python", 11, 0, 3, 14
"/Users/h.zhong@aics.espritscholen.nl/Desktop/Legacy Fourier's Estate MMXXIII/algorithms/by_row.py", "Python", 13, 0, 2, 15
"/Users/h.zhong@aics.espritscholen.nl/Desktop/Legacy Fourier's Estate MMXXIII/algorithms/dft.py", "Python", 38, 3, 13, 54
"/Users/h.zhong@aics.espritscholen.nl/Desktop/Legacy Fourier's Estate MMXXIII/compressor1d.py", "Python", 28, 1, 12, 41
"/Users/h.zhong@aics.espritscholen.nl/Desktop/Legacy Fourier's Estate MMXXIII/compressor1d_bulk.py", "Python", 27, 2, 8, 37
"/Users/h.zhong@aics.espritscholen.nl/Desktop/Legacy Fourier's Estate MMXXIII/compressor2d.py", "Python", 25, 7, 11, 43
"/Users/h.zhong@aics.espritscholen.nl/Desktop/Legacy Fourier's Estate MMXXIII/figures/imagemaker.py", "Python", 25, 6, 8, 39
"/Users/h.zhong@aics.espritscholen.nl/Desktop/Legacy Fourier's Estate MMXXIII/highlowfreqs.py", "Python", 28, 0, 11, 39
"/Users/h.zhong@aics.espritscholen.nl/Desktop/Legacy Fourier's Estate MMXXIII/imagebar.py", "Python", 17, 3, 7, 27
"/Users/h.zhong@aics.espritscholen.nl/Desktop/Legacy Fourier's Estate MMXXIII/imagebar2.py", "Python", 30, 4, 13, 47
"/Users/h.zhong@aics.espritscholen.nl/Desktop/Legacy Fourier's Estate MMXXIII/wave3d.py", "Python", 14, 5, 7, 26
"/Users/h.zhong@aics.espritscholen.nl/Desktop/Legacy Fourier's Estate MMXXIII/wave3d_periodic.py", "Python", 25, 4, 6, 35
"/Users/h.zhong@aics.espritscholen.nl/Desktop/Legacy Fourier's Estate MMXXIII/wave3d_repeated.py", "Python", 15, 6, 7, 28
"Total", "-", 296, 41, 108, 445
